time_utc,agent,asset,score,level,title,summary
2026-07-01 12:31:51,macro_regime,MARKET,41,watch,Macro regime: mixed,"Current proxy basket points to mixed. Watch confirmation across credit, duration and dollar proxies."
2026-07-01 21:08:38,macro_regime,MARKET,36,watch,Macro regime: mixed,"Current proxy basket points to mixed. Watch confirmation across credit, duration and dollar proxies."
2026-07-02 07:45:50,macro_regime,MARKET,36,watch,Macro regime: mixed,"Current proxy basket points to mixed. Watch confirmation across credit, duration and dollar proxies."
2026-07-02 09:43:54,macro_regime,MARKET,36,vigilancia,Regimen macro: mixed,"La cesta de proxies apunta a un regimen mixed. Vigilar confirmacion en credito, duracion y dolar."
2026-07-02 10:06:33,macro_regime,MARKET,36,vigilancia,Regimen macro: mixed,"La cesta de proxies apunta a un regimen mixed. Vigilar confirmacion en credito, duracion y dolar."
2026-07-02 21:40:49,macro_regime,MARKET,36,vigilancia,Regimen macro: mixed,"La cesta de proxies apunta a un regimen mixed. Vigilar confirmacion en credito, duracion y dolar."
2026-07-03 09:40:02,macro_regime,MARKET,36,vigilancia,Regimen macro: mixed,"La cesta de proxies apunta a un regimen mixed. Vigilar confirmacion en credito, duracion y dolar."
2026-07-03 21:38:04,macro_regime,MARKET,36,vigilancia,Regimen macro: mixed,"La cesta de proxies apunta a un regimen mixed. Vigilar confirmacion en credito, duracion y dolar."
2026-07-04 09:04:10,macro_regime,MARKET,36,vigilancia,Regimen macro: mixed,"La cesta de proxies apunta a un regimen mixed. Vigilar confirmacion en credito, duracion y dolar."
2026-07-04 21:25:40,macro_regime,MARKET,36,vigilancia,Regimen macro: mixed,"La cesta de proxies apunta a un regimen mixed. Vigilar confirmacion en credito, duracion y dolar."
2026-07-05 09:25:48,macro_regime,MARKET,36,vigilancia,Regimen macro: mixed,"La cesta de proxies apunta a un regimen mixed. Vigilar confirmacion en credito, duracion y dolar."
2026-07-05 21:32:26,macro_regime,MARKET,36,vigilancia,Regimen macro: mixed,"La cesta de proxies apunta a un regimen mixed. Vigilar confirmacion en credito, duracion y dolar."
2026-07-06 11:11:24,macro_regime,MARKET,36,vigilancia,Regimen macro: mixed,"La cesta de proxies apunta a un regimen mixed. Vigilar confirmacion en credito, duracion y dolar."
2026-07-06 21:52:43,macro_regime,MARKET,41,vigilancia,Regimen macro: mixed,"La cesta de proxies apunta a un regimen mixed. Vigilar confirmacion en credito, duracion y dolar."
2026-07-07 10:05:23,macro_regime,MARKET,41,vigilancia,Regimen macro: mixed,"La cesta de proxies apunta a un regimen mixed. Vigilar confirmacion en credito, duracion y dolar."
2026-07-07 21:50:01,macro_regime,MARKET,55,vigilancia,Regimen macro: mixed,"La cesta de proxies apunta a un regimen mixed. Vigilar confirmacion en credito, duracion y dolar."
2026-07-08 07:20:42,macro_regime,MARKET,55,vigilancia,Regimen macro: mixed,"La cesta de proxies apunta a un regimen mixed. Vigilar confirmacion en credito, duracion y dolar."
2026-07-08 09:04:40,macro_regime,MARKET,55,vigilancia,Regimen macro: mixed,"La cesta de proxies apunta a un regimen mixed. Vigilar confirmacion en credito, duracion y dolar."
2026-07-08 21:37:20,macro_regime,MARKET,50,vigilancia,Regimen macro: mixed,"La cesta de proxies apunta a un regimen mixed. Vigilar confirmacion en credito, duracion y dolar."
